2016-09-03 16:36:02 Budget fixing started.
2016-09-03 16:36:02 Budget reset successfully for 2016-6
2016-09-03 16:36:03 2016-6 tickets: Page 1: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 101, TR Total: 4542.1212, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 102, TR Total: 4542.1212, SC: 27
2016-09-03 16:36:03 2016-6 tickets: Page 10: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 103, TR Total: 2852.5660, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 104, TR Total: 1469.7218, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 105, TR Total: 2852.5660, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 106, TR Total: 1469.7218, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 107, TR Total: 1469.7218, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 108, TR Total: 3274.9548, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 1529, TR Total: 1761.8224, SC: 30
2016-09-03 16:36:03 2016-6 budget updated for TR: 110, TR Total: 4192.3530, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 111, TR Total: 4149.4972, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 112, TR Total: 4605.8590, SC: 11
2016-09-03 16:36:03 2016-6 tickets: Page 11: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 113, TR Total: 4149.4972, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 115, TR Total: 4605.8590, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 116, TR Total: 4149.4972, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 117, TR Total: 4149.4972, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 118, TR Total: 3693.1354, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 119, TR Total: 2455.8928, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 120, TR Total: 12189.3512, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 121, TR Total: 1597.8016, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 122, TR Total: 1597.8016, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 123, TR Total: 1597.8016, SC: 11
2016-09-03 16:36:03 2016-6 tickets: Page 12: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 124, TR Total: 1597.8016, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 190, TR Total: 887.0504, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 126, TR Total: 15390.6498, SC: 28
2016-09-03 16:36:03 2016-6 budget updated for TR: 128, TR Total: 6932.2986, SC: 28
2016-09-03 16:36:03 2016-6 budget updated for TR: 129, TR Total: 1278.8582, SC: 28
2016-09-03 16:36:03 2016-6 budget updated for TR: 130, TR Total: 8084.7208, SC: 28
2016-09-03 16:36:03 2016-6 budget updated for TR: 131, TR Total: 1278.8582, SC: 28
2016-09-03 16:36:03 2016-6 budget updated for TR: 132, TR Total: 5974.9444, SC: 3
2016-09-03 16:36:03 2016-6 budget updated for TR: 133, TR Total: 4605.8590, SC: 3
2016-09-03 16:36:03 2016-6 budget updated for TR: 134, TR Total: 4149.4972, SC: 3
2016-09-03 16:36:03 2016-6 tickets: Page 13: 10
